768.726 3.6915e-27  4.66425e-28 4.19799e-23 8.98997e-18  8.99001e-18 1.96733e-16
751.193 3.67577e-27  4.76007e-28 3.91725e-23 8.38396e-18  8.384e-18 1.98388e-16
734.06 3.66005e-27  4.85783e-28 3.65528e-23 7.80433e-18  7.80436e-18 2.00087e-16
717.317 3.64432e-27  4.95756e-28 3.41083e-23 7.25101e-18  7.25104e-18 2.01716e-16
700.957 3.6286e-27  5.0593e-28 3.18273e-23 6.72386e-18  6.72389e-18 2.03386e-16
684.97 3.61287e-27  5.16308e-28 2.96989e-23 6.22267e-18  6.2227e-18 2.05043e-16
669.347 3.59715e-27  5.26895e-28 2.77128e-23 5.74715e-18  5.74718e-18 2.06745e-16
654.081 3.58142e-27  5.37694e-28 2.58595e-23 5.29695e-18  5.29698e-18 2.08385e-16
639.162 3.56569e-27  5.48711e-28 2.41301e-23 4.87164e-18  4.87167e-18 2.10079e-16
624.584 3.54997e-27  5.59948e-28 2.25164e-23 4.47074e-18  4.47076e-18 2.11766e-16
610.339 3.53424e-27  5.71411e-28 2.10107e-23 4.09371e-18  4.09373e-18 2.13424e-16
596.418 3.51852e-27  5.83104e-28 1.96056e-23 3.73993e-18  3.73995e-18 2.15095e-16
582.815 3.5028e-27  5.95031e-28 1.82945e-23 3.40877e-18  3.40879e-18 2.16766e-16
569.523 3.48707e-27  6.07197e-28 1.7071e-23 3.09952e-18  3.09954e-18 2.18505e-16
556.533 3.47135e-27  6.19607e-28 1.59294e-23 2.81146e-18  2.81147e-18 2.2015e-16
543.84 3.45562e-27  6.32264e-28 1.48641e-23 2.5438e-18  2.54382e-18 2.21837e-16
531.436 3.4399e-27  6.45175e-28 1.38701e-23 2.29575e-18  2.29576e-18 2.23511e-16
519.315 3.42418e-27  6.58344e-28 1.29425e-23 2.06647e-18  2.06648e-18 2.2522e-16
507.471 3.40846e-27  6.71776e-28 1.2077e-23 1.85511e-18  1.85512e-18 2.26916e-16
495.896 3.39273e-27  6.85476e-28 1.12693e-23 1.66081e-18  1.66082e-18 2.28607e-16
484.586 3.37701e-27  6.99449e-28 1.05157e-23 1.4827e-18  1.48271e-18 2.30269e-16
473.533 3.36129e-27  7.137e-28 9.81247e-24 1.3199e-18  1.31991e-18 2.31967e-16
462.733 3.34557e-27  7.28236e-28 9.15626e-24 1.17153e-18  1.17154e-18 2.33666e-16
452.179 3.32985e-27  7.4306e-28 8.54394e-24 1.03672e-18  1.03673e-18 2.35375e-16
441.866 3.31413e-27  7.5818e-28 7.97256e-24 9.14603e-19  9.14611e-19 2.37035e-16
431.788 3.29841e-27  7.736e-28 7.4394e-24 8.04338e-19  8.04345e-19 2.38733e-16
421.94 3.28269e-27  7.89327e-28 6.94189e-24 7.05093e-19  7.051e-19 2.40425e-16
412.316 3.26697e-27  8.05366e-28 6.47765e-24 6.16062e-19  6.16068e-19 2.42071e-16
402.912 3.25125e-27  8.21723e-28 6.04446e-24 5.36461e-19  5.36467e-19 2.43758e-16
393.723 3.23553e-27  8.38405e-28 5.64024e-24 4.65537e-19  4.65542e-19 2.45428e-16
384.743 3.21981e-27  8.55417e-28 5.26305e-24 4.02566e-19  4.02572e-19 2.47109e-16
375.967 3.20409e-27  8.72766e-28 4.91108e-24 3.46859e-19  3.46864e-19 2.48784e-16
367.392 3.18838e-27  8.90459e-28 4.58265e-24 2.97758e-19  2.97762e-19 2.50456e-16
359.013 3.17266e-27  9.08501e-28 4.27619e-24 2.54643e-19  2.54647e-19 2.52125e-16
350.825 3.15694e-27  9.269e-28 3.99022e-24 2.1693e-19  2.16934e-19 2.53789e-16
342.823 3.14123e-27  9.45663e-28 3.72337e-24 1.84072e-19  1.84076e-19 2.55533e-16
335.004 3.12551e-27  9.64795e-28 3.47437e-24 1.5556e-19  1.55564e-19 2.57161e-16
327.363 3.1098e-27  9.84305e-28 3.24203e-24 1.30921e-19  1.30924e-19 2.58781e-16
319.897 3.09408e-27  1.0042e-27 3.02522e-24 1.09718e-19  1.09721e-19 2.60421e-16
312.601 3.07837e-27  1.02449e-27 2.8229e-24 9.15503e-20  9.15531e-20 2.62084e-16
305.471 3.06266e-27  1.04517e-27 2.63412e-24 7.60527e-20  7.60553e-20 2.63757e-16
298.504 3.04694e-27  1.06626e-27 2.45797e-24 6.2892e-20  6.28945e-20 2.65365e-16
291.696 3.03123e-27  1.08777e-27 2.29359e-24 5.17676e-20  5.17698e-20 2.6701e-16
285.043 3.01552e-27  1.1097e-27 2.14021e-24 4.24085e-20  4.24106e-20 2.68648e-16
278.541 2.99981e-27  1.13206e-27 1.99708e-24 3.45728e-20  3.45748e-20 2.70266e-16
272.188 2.9841e-27  1.15486e-27 1.86353e-24 2.80447e-20  2.80466e-20 2.71884e-16
265.98 2.96839e-27  1.1781e-27 1.7389e-24 2.26336e-20  2.26354e-20 2.73506e-16
259.914 2.95269e-27  1.2018e-27 1.62261e-24 1.81716e-20  1.81732e-20 2.75119e-16
253.986 2.93698e-27  1.22596e-27 1.5141e-24 1.45115e-20  1.4513e-20 2.76769e-16
248.193 2.92127e-27  1.2506e-27 1.41285e-24 1.15254e-20  1.15269e-20 2.78376e-16
242.532 2.90557e-27  1.27571e-27 1.31836e-24 9.10284e-21  9.10416e-21 2.79916e-16
237.001 2.88986e-27  1.30132e-27 1.2302e-24 7.14846e-21  7.14969e-21 2.81505e-16
231.595 2.87416e-27  1.32743e-27 1.14793e-24 5.58091e-21  5.58206e-21 2.83098e-16
226.313 2.85846e-27  1.35404e-27 1.07116e-24 4.33108e-21  4.33215e-21 2.84652e-16
221.151 2.84276e-27  1.38117e-27 9.99527e-25 3.3406e-21  3.3416e-21 2.86216e-16
216.107 2.82705e-27  1.40883e-27 9.32684e-25 2.56052e-21  2.56146e-21 2.87774e-16
211.178 2.81136e-27  1.43703e-27 8.7031e-25 1.95005e-21  1.95092e-21 2.8934e-16
206.362 2.79566e-27  1.46577e-27 8.12109e-25 1.47539e-21  1.47621e-21 2.90893e-16
201.655 2.77996e-27  1.49508e-27 7.57799e-25 1.10879e-21  1.10956e-21 2.92434e-16
197.056 2.76426e-27  1.52495e-27 7.07121e-25 8.27568e-22  8.2828e-22 2.9394e-16
192.561 2.74857e-27  1.5554e-27 6.59832e-25 6.13337e-22  6.14001e-22 2.95452e-16
188.169 2.73288e-27  1.58643e-27 6.15706e-25 4.51298e-22  4.51918e-22 2.96973e-16
183.878 2.71718e-27  1.61807e-27 5.74531e-25 3.29627e-22  3.30205e-22 2.98491e-16
179.684 2.70149e-27  1.65032e-27 5.36109e-25 2.38947e-22  2.39487e-22 2.99985e-16
175.586 2.68581e-27  1.68319e-27 5.00257e-25 1.71877e-22  1.72382e-22 3.01453e-16
171.581 2.67012e-27  1.7167e-27 4.66802e-25 1.22658e-22  1.2313e-22 3.02927e-16
167.668 2.65443e-27  1.75084e-27 4.35585e-25 8.68261e-23  8.72661e-23 3.0439e-16
163.843 2.63875e-27  1.78565e-27 4.06455e-25 6.09524e-23  6.13633e-23 3.05847e-16
160.106 2.62306e-27  1.82113e-27 3.79274e-25 4.24255e-23  4.28093e-23 3.07289e-16
156.455 2.60738e-27  1.85728e-27 3.5391e-25 2.92727e-23  2.9631e-23 3.08734e-16
152.886 2.5917e-27  1.89413e-27 3.30242e-25 2.00166e-23  2.03514e-23 3.10158e-16
149.399 2.57602e-27  1.93169e-27 3.08157e-25 1.35612e-23  1.38738e-23 3.1159e-16
145.992 2.56035e-27  1.96997e-27 2.87549e-25 9.10025e-24  9.39233e-24 3.12985e-16
